Title,Category,Date,Location,IsIsrael,HebrewYear,HebrewMonth,HebrewDay
Asara B'Tevet,fast,2015-01-01,Jerusalem,true,5775,10,10
Asara B'Tevet,fast,2015-01-01,Salford,false,5775,10,10
Ben-Gurion Day,holiday,2014-11-30,Jerusalem,true,5775,9,8
Chag HaBanot,holiday,2014-12-22,Jerusalem,true,5775,9,30
Chag HaBanot,holiday,2014-12-22,Salford,false,5775,9,30
Chanukah: 1 Candle,holiday,2014-12-16,Salford,false,5775,9,24
Chanukah: 1 Candle,holiday,2014-12-16,Jerusalem,true,5775,9,24
Chanukah: 2 Candles,holiday,2014-12-17,Jerusalem,true,5775,9,25
Chanukah: 2 Candles,holiday,2014-12-17,Salford,false,5775,9,25
Chanukah: 3 Candles,holiday,2014-12-18,Jerusalem,true,5775,9,26
Chanukah: 3 Candles,holiday,2014-12-18,Salford,false,5775,9,26
Chanukah: 4 Candles,holiday,2014-12-19,Jerusalem,true,5775,9,27
Chanukah: 4 Candles,holiday,2014-12-19,Salford,false,5775,9,27
Chanukah: 5 Candles,holiday,2014-12-20,Jerusalem,true,5775,9,28
Chanukah: 5 Candles,holiday,2014-12-20,Salford,false,5775,9,28
Chanukah: 6 Candles,holiday,2014-12-21,Salford,false,5775,9,29
Chanukah: 6 Candles,holiday,2014-12-21,Jerusalem,true,5775,9,29
Chanukah: 7 Candles,holiday,2014-12-22,Jerusalem,true,5775,9,30
Chanukah: 7 Candles,holiday,2014-12-22,Salford,false,5775,9,30
Chanukah: 8 Candles,holiday,2014-12-23,Jerusalem,true,5775,10,1
Chanukah: 8 Candles,holiday,2014-12-23,Salford,false,5775,10,1
Chanukah: 8th Day,holiday,2014-12-24,Salford,false,5775,10,2
Chanukah: 8th Day,holiday,2014-12-24,Jerusalem,true,5775,10,2
Erev Pesach,holiday,2015-04-03,Salford,false,5775,1,14
Erev Pesach,holiday,2015-04-03,Jerusalem,true,5775,1,14
Erev Purim,holiday,2015-03-04,Jerusalem,true,5775,12,13
Erev Purim,holiday,2015-03-04,Salford,false,5775,12,13
Erev Rosh Hashana,holiday,2014-09-24,Jerusalem,true,5774,6,29
Erev Rosh Hashana,holiday,2014-09-24,Salford,false,5774,6,29
Erev Shavuot,holiday,2015-05-23,Salford,false,5775,3,5
Erev Shavuot,holiday,2015-05-23,Jerusalem,true,5775,3,5
Erev Sukkot,holiday,2014-10-08,Salford,false,5775,7,14
Erev Sukkot,holiday,2014-10-08,Jerusalem,true,5775,7,14
Erev Tish'a B'Av,fast,2015-07-25,Salford,false,5775,5,9
Erev Tish'a B'Av,fast,2015-07-25,Jerusalem,true,5775,5,9
Erev Yom Kippur,holiday,2014-10-03,Jerusalem,true,5775,7,9
Erev Yom Kippur,holiday,2014-10-03,Salford,false,5775,7,9
Family Day,holiday,2015-02-19,Jerusalem,true,5775,11,30
Hebrew Language Day,holiday,2015-01-12,Jerusalem,true,5775,10,21
Herzl Day,holiday,2015-04-29,Jerusalem,true,5775,2,10
Jabotinsky Day,holiday,2015-07-16,Jerusalem,true,5775,4,29
Lag BaOmer,holiday,2015-05-07,Salford,false,5775,2,18
Lag BaOmer,holiday,2015-05-07,Jerusalem,true,5775,2,18
Leil Selichot,holiday,2015-09-05,Salford,false,5775,6,21
Leil Selichot,holiday,2015-09-05,Jerusalem,true,5775,6,21
Pesach I,holiday,2015-04-04,Salford,false,5775,1,15
Pesach I,holiday,2015-04-04,Jerusalem,true,5775,1,15
Pesach II,holiday,2015-04-05,Salford,false,5775,1,16
Pesach II (CH''M),holiday,2015-04-05,Jerusalem,true,5775,1,16
Pesach III (CH''M),holiday,2015-04-06,Jerusalem,true,5775,1,17
Pesach III (CH''M),holiday,2015-04-06,Salford,false,5775,1,17
Pesach IV (CH''M),holiday,2015-04-07,Jerusalem,true,5775,1,18
Pesach IV (CH''M),holiday,2015-04-07,Salford,false,5775,1,18
Pesach Sheni,holiday,2015-05-03,Jerusalem,true,5775,2,14
