HebCal Title,HebCal Category,Date,Location,Israel Mode,Matched Tag,Match Type,Hebrew Year
Asara B'Tevet,fast,2015-01-01,Jerusalem,true,asara_btevet,exact,5775
Asara B'Tevet,fast,2015-01-01,Salford,false,asara_btevet,exact,5775
Erev Tish'a B'Av,fast,2015-07-25,Jerusalem,true,erev_tisha_bav,exact,5775
Erev Tish'a B'Av,fast,2015-07-25,Salford,false,erev_tisha_bav,exact,5775
Ta'anit Bechorot,fast,2015-04-03,Jerusalem,true,taanit_bechorot,exact,5775
Ta'anit Bechorot,fast,2015-04-03,Salford,false,taanit_bechorot,exact,5775
Ta'anit Esther,fast,2015-03-04,Jerusalem,true,taanit_esther,exact,5775
Ta'anit Esther,fast,2015-03-04,Salford,false,taanit_esther,exact,5775
Tish'a B'Av,fast,2017-08-01,Jerusalem,true,tisha_bav,group,5777
Tish'a B'Av,fast,2017-08-01,Salford,false,tisha_bav,group,5777
Tish'a B'Av (observed),fast,2015-07-26,Jerusalem,true,tisha_bav,group,5775
Tish'a B'Av (observed),fast,2015-07-26,Salford,false,tisha_bav,group,5775
Tzom Gedaliah,fast,2014-09-28,Jerusalem,true,tzom_gedaliah,exact,5775
Tzom Gedaliah,fast,2014-09-28,Salford,false,tzom_gedaliah,exact,5775
Tzom Tammuz,fast,2015-07-05,Jerusalem,true,tzom_tammuz,exact,5775
Tzom Tammuz,fast,2015-07-05,Salford,false,tzom_tammuz,exact,5775
Yom Kippur,fast,2014-10-04,Jerusalem,true,yom_kippur,exact,5775
Yom Kippur,fast,2014-10-04,Salford,false,yom_kippur,exact,5775
Ben-Gurion Day,holiday,2014-11-30,Jerusalem,true,israeli_civic_ben_gurion,exact,5775
Birkat Hachamah,holiday,2037-04-08,Jerusalem,true,birkat_hachamah,exact,5797
Birkat Hachamah,holiday,2037-04-08,Salford,false,birkat_hachamah,exact,5797
Chag HaBanot,holiday,2014-12-22,Jerusalem,true,chag_habanot,exact,5775
Chag HaBanot,holiday,2014-12-22,Salford,false,chag_habanot,exact,5775
Chanukah: 1 Candle,holiday,2014-12-16,Jerusalem,true,chanukah,group,5775
Chanukah: 1 Candle,holiday,2014-12-16,Salford,false,chanukah,group,5775
Chanukah: 2 Candles,holiday,2014-12-17,Jerusalem,true,chanukah,group,5775
Chanukah: 2 Candles,holiday,2014-12-17,Salford,false,chanukah,group,5775
Chanukah: 3 Candles,holiday,2014-12-18,Jerusalem,true,chanukah,group,5775
Chanukah: 3 Candles,holiday,2014-12-18,Salford,false,chanukah,group,5775
Chanukah: 4 Candles,holiday,2014-12-19,Jerusalem,true,chanukah,group,5775
Chanukah: 4 Candles,holiday,2014-12-19,Salford,false,chanukah,group,5775
Chanukah: 5 Candles,holiday,2014-12-20,Jerusalem,true,chanukah,group,5775
Chanukah: 5 Candles,holiday,2014-12-20,Salford,false,chanukah,group,5775
Chanukah: 6 Candles,holiday,2014-12-21,Jerusalem,true,chanukah,group,5775
Chanukah: 6 Candles,holiday,2014-12-21,Salford,false,chanukah,group,5775
Chanukah: 7 Candles,holiday,2014-12-22,Jerusalem,true,chanukah,group,5775
Chanukah: 7 Candles,holiday,2014-12-22,Salford,false,chanukah,group,5775
Chanukah: 8 Candles,holiday,2014-12-23,Jerusalem,true,chanukah,group,5775
Chanukah: 8 Candles,holiday,2014-12-23,Salford,false,chanukah,group,5775
Chanukah: 8th Day,holiday,2014-12-24,Jerusalem,true,chanukah,group,5775
Chanukah: 8th Day,holiday,2014-12-24,Salford,false,chanukah,group,5775
Erev Pesach,holiday,2015-04-03,Jerusalem,true,erev_pesach,exact,5775
Erev Pesach,holiday,2015-04-03,Salford,false,erev_pesach,exact,5775
Erev Purim,holiday,2015-03-04,Jerusalem,true,erev_purim,exact,5775
Erev Purim,holiday,2015-03-04,Salford,false,erev_purim,exact,5775
Erev Rosh Hashana,holiday,2014-09-24,Jerusalem,true,erev_rosh_hashana,exact,5774
Erev Rosh Hashana,holiday,2014-09-24,Salford,false,erev_rosh_hashana,exact,5774
Erev Shavuot,holiday,2015-05-23,Jerusalem,true,erev_shavuos,exact,5775
Erev Shavuot,holiday,2015-05-23,Salford,false,erev_shavuos,exact,5775
Erev Sukkot,holiday,2014-10-08,Jerusalem,true,erev_sukkos,exact,5775
Erev Sukkot,holiday,2014-10-08,Salford,false,erev_sukkos,exact,5775
Erev Yom Kippur,holiday,2014-10-03,Jerusalem,true,erev_yom_kippur,exact,5775
Erev Yom Kippur,holiday,2014-10-03,Salford,false,erev_yom_kippur,exact,5775
Family Day,holiday,2015-02-19,Jerusalem,true,israeli_civic_family_day,exact,5775
Hebrew Language Day,holiday,2015-01-12,Jerusalem,true,israeli_civic_hebrew_language,exact,5775
Herzl Day,holiday,2015-04-29,Jerusalem,true,israeli_civic_herzl,exact,5775
Jabotinsky Day,holiday,2015-07-16,Jerusalem,true,israeli_civic_jabotinsky,exact,5775
Lag BaOmer,holiday,2015-05-07,Jerusalem,true,lag_baomer,exact,5775
Lag BaOmer,holiday,2015-05-07,Salford,false,lag_baomer,exact,5775
Leil Selichot,holiday,2015-09-05,Jerusalem,true,leil_selichos,exact,5775
Leil Selichot,holiday,2015-09-05,Salford,false,leil_selichos,exact,5775
Pesach I,holiday,2015-04-04,Jerusalem,true,pesach,group,5775
Pesach I,holiday,2015-04-04,Salford,false,pesach,group,5775
Pesach II,holiday,2015-04-05,Salford,false,pesach,group,5775
Pesach II (CH''M),holiday,2015-04-05,Jerusalem,true,pesach,group,5775
Pesach III (CH''M),holiday,2015-04-06,Jerusalem,true,pesach,group,5775
Pesach III (CH''M),holiday,2015-04-06,Salford,false,pesach,group,5775
Pesach IV (CH''M),holiday,2015-04-07,Jerusalem,true,pesach,group,5775
Pesach IV (CH''M),holiday,2015-04-07,Salford,false,pesach,group,5775
Pesach Sheni,holiday,2015-05-03,Jerusalem,true,pesach_sheni,exact,5775
Pesach Sheni,holiday,2015-05-03,Salford,false,pesach_sheni,exact,5775
Pesach V (CH''M),holiday,2015-04-08,Jerusalem,true,pesach,group,5775
Pesach V (CH''M),holiday,2015-04-08,Salford,false,pesach,group,5775
Pesach VI (CH''M),holiday,2015-04-09,Jerusalem,true,pesach,group,5775
Pesach VI (CH''M),holiday,2015-04-09,Salford,false,pesach,group,5775
Pesach VII,holiday,2015-04-10,Jerusalem,true,pesach,group,5775
